label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
x86_64_reference,512,32,3.001174,446208,7803042890,546.483009,148677.834896,4189390064
x86_64_reference,512,128,3.000034,223744,7800081954,272.356534,74580.482745,2514598805
x86_64_reference,512,512,3.003356,90368,7808718852,168.769963,30089.005694,2728983213
x86_64_reference,512,1024,3.010509,50432,7827315918,151.567719,16751.984138,111799943
x86_64_reference,512,4096,3.026134,13056,7867941740,147.126548,4314.415268,3194068969
x86_64_reference,512,8192,3.039090,6656,7901627024,144.914976,2190.129270,1097356550
x86_64_reference,512,16384,3.035524,3328,7892352144,144.744876,1096.351240,2516925666
x86_64_reference,512,65536,3.728525,1024,9694156324,144.454186,274.639470,3507900843
x86_64_reference,768,32,3.003229,234496,7808388104,1040.581196,78081.295041,2944738036
x86_64_reference,768,128,3.004596,155648,7811942666,392.107846,51803.296288,2931911236
x86_64_reference,768,512,3.008848,67328,7822997652,226.938158,22376.671651,3696167099
x86_64_reference,768,1024,3.008346,36352,7821691714,210.122437,12083.718092,917585906
x86_64_reference,768,4096,3.050543,9984,7931403672,193.948102,3272.860219,269793311
x86_64_reference,768,8192,3.085992,5120,8023572856,191.296884,1659.109984,2491988223
x86_64_reference,768,16384,3.124722,2560,8124269784,193.697686,819.272883,1978302984
x86_64_reference,768,65536,3.723741,768,9681721458,192.358523,206.244178,599235851
x86_64_reference,1024,32,3.000912,124160,7802365004,1963.787906,41374.085869,1415416645
x86_64_reference,1024,128,3.005157,75008,7813401056,813.809137,24959.760053,1083395461
x86_64_reference,1024,512,3.011328,31744,7829443512,481.725109,10541.528448,4037325228
x86_64_reference,1024,1024,3.012357,18944,7832121952,403.745597,6288.762928,1279761063
x86_64_reference,1024,4096,3.064372,5376,7967358768,361.822163,1754.356363,2649800945
x86_64_reference,1024,8192,3.145208,2816,8177534908,354.486592,895.330178,2364180291
x86_64_reference,1024,16384,3.393218,1536,8822360286,350.569101,452.667613,1895040134
x86_64_reference,1024,65536,4.497423,512,11693293232,348.487295,113.842965,2913569832
