label,digest_bits,msg_bytes,elapsed_seconds,iterations,cycles,cycles_per_byte,ops_per_second,sink
x86_64_avx512,512,32,3.000198,3025664,7800506802,80.566063,1008488.208784,4189390064
x86_64_avx512,512,128,3.000135,2122240,7800343920,28.715031,707381.530843,2514598805
x86_64_avx512,512,512,3.000235,1090048,7800604950,13.976959,363320.851694,2728983213
x86_64_avx512,512,1024,3.000026,660992,7800062196,11.523964,220328.728922,111799943
x86_64_avx512,512,4096,3.003913,186624,7810167828,10.217224,62126.957903,3194068969
x86_64_avx512,512,8192,3.006140,96256,7815958476,9.912073,32019.796886,1097356550
x86_64_avx512,512,16384,3.007755,48896,7820156738,9.761626,16256.642297,2516925666
x86_64_avx512,512,65536,3.002854,12288,7807413556,9.694961,4092.106658,3507900843
x86_64_avx512,768,32,3.000076,2987520,7800189948,81.591399,995814.931704,2944738036
x86_64_avx512,768,128,3.000283,2085888,7800728602,29.216905,695230.396082,2931911236
x86_64_avx512,768,512,3.000031,939776,7800073094,16.210797,313255.450504,3696167099
x86_64_avx512,768,1024,3.000774,515328,7802005312,14.785041,171731.710075,917585906
x86_64_avx512,768,4096,3.003714,137728,7809651176,13.843613,45852.560648,269793311
x86_64_avx512,768,8192,3.008576,70912,7822289232,13.465553,23569.958030,2491988223
x86_64_avx512,768,16384,3.002299,36096,7805969272,13.199206,12022.786547,1978302984
x86_64_avx512,768,65536,3.021254,9216,7855254788,13.005824,3050.388671,599235851
x86_64_avx512,1024,32,3.000024,2028544,7800054372,120.160913,676176.034298,1415416645
x86_64_avx512,1024,128,3.000155,1279232,7800395906,47.638421,426388.643203,1083395461
x86_64_avx512,1024,512,3.000608,553472,7801574034,27.530660,184453.269079,4037325228
x86_64_avx512,1024,1024,3.001277,320512,7803314154,23.775784,106791.867914,1279761063
x86_64_avx512,1024,4096,3.006294,87808,7816358460,21.732537,29208.051025,2649800945
x86_64_avx512,1024,8192,3.004342,45312,7811283072,21.043559,15082.170833,2364180291
x86_64_avx512,1024,16384,3.002872,23040,7807461276,20.682709,7672.653737,1895040134
x86_64_avx512,1024,65536,3.031988,5888,7883160620,20.429260,1941.960264,2913569832
